time_index,V1,V2,V3,V4,V5,V6
0,-0.17448888667602558,-0.2179567573909134,-0.06374487410129585,0.030706506031177472,0.0,0.0
1,-0.1618470906937232,-0.02133715649897472,-0.0059975705639430995,-0.15614286926673115,0.08260570238454798,0.012200851455407696
2,-0.08477075891748131,-0.14615373247693464,0.003473975399165387,0.15553462082113823,0.046772268652921056,0.04920573200970832
3,0.013518596216930363,0.018281087077389874,0.17810055820157755,-0.2732474359414188,-0.0024331907157663334,0.058494831003948144
4,0.0145381249183042,0.018371590648258287,-0.15714347841307455,0.4457542116922696,-0.08525335466632111,-0.16440640963825037
5,0.02255953428341462,-0.04004608281840208,0.34318162997999957,-0.5627522004556212,-0.04905670612597559,0.10520767441697475
6,-0.06083819159195175,-0.21768215297844523,-0.3368542281813628,0.5888740714289546,0.15740041341812228,0.18774783913763665
7,-0.10811260623400276,-0.12239169582570093,0.1933456832277497,-0.6974632304218926,0.04549464446861187,0.1258254161475468
8,0.17759967393863257,0.2472298426891089,-0.44351456336172074,0.8066262161509818,-0.28552187102771676,-0.3218509554837509
9,0.06646226034469849,0.0420591619300347,0.5988510364057498,-0.9631969223990307,0.014745041963210203,0.34128592225246346
10,-0.029684667163956308,-0.006897833972966903,-0.511245464859535,1.0362771662757764,0.03922673833295631,0.00270121247821703
11,-0.08246307848445907,-0.29661058321883177,0.4206083448204875,-1.2144593401940313,0.04697662397234838,0.006950236853520489
12,-0.05341490370534204,-0.24897125896691727,-0.055879186741629866,1.2626199190711338,0.1467656502710846,0.1624613932123053
13,-0.018096879827566255,-0.10647829942750585,-0.1260594156784494,-1.3669723008543544,-0.13625800593339982,-0.07646944120809948
14,0.10347923017439396,-0.055488463825886646,0.031096610338907607,1.3402589068587796,0.12318746825587462,-0.12817397683381454
15,-0.02538995451768837,-0.06124682079160569,-0.11296405691088963,-1.2952713411013916,0.011910353749632521,0.13951017285330558
16,-0.048119730591362,0.04117173052171906,-0.0867131144885541,1.1755868219734464,0.0005502799833534897,-0.11177373654438934
17,-0.023194740768533,0.01345523696268873,0.04307191577123366,-1.25101412531207,-0.04951065814886896,-0.06064966237648127
