time_index,V1,V2,V3,V4,V5,V6
0,-0.10865630591996224,-0.1343147392187266,-0.12631009481914537,-0.11454240265052654,0.0,0.0
1,0.00731735642356901,0.02400275246843985,-0.05749443182557666,-0.11188611087116432,0.07951075147087451,-0.1033552865040928
2,0.0325451384272113,0.09325544164389463,-0.12125507199792356,-0.07300591945662957,0.04545204231117271,-0.005091633014899705
3,0.07902121715482459,-0.029118093539225814,0.13324849765848068,-0.27701487550010717,-0.04324702290158231,-0.1386990853527855
4,0.13483067793354003,-0.005961517993158055,0.29070338042224314,-0.41444510147385033,-0.24908522432369062,-0.22577864198203695
5,0.20960322908119328,0.01329254840306407,0.696339808285298,-0.855189911322319,-0.12117538203460462,-0.4206653907399153
6,0.09479544499434897,-0.2879422487008917,0.7736953972945076,-1.5439236617429084,-0.17586378998000352,-0.49427236803534913
7,0.015300953573560132,-0.6057949003323528,0.5541325295321231,-2.3315723965172066,-0.151002635961012,-0.40723522863852907
8,0.12411404529602689,-0.20142073396422913,0.6211813424774463,-2.6975585806624065,0.05121125264577908,-0.44936384533634727
9,0.04955848638499903,-0.11084985496693459,0.4368054475933668,-2.902815223302248,0.0007900873937574339,-0.3260397450084912
10,0.010685104880572702,-0.17614357892349697,0.5491521283609035,-3.1076112045955435,0.006529563449138812,-0.37464071411776567
11,-0.021499560827970006,-0.13596167765028266,0.5648436882858665,-3.279233545142087,0.12014633875663017,-0.34791502258738943
12,-0.13004776854440192,-0.11463297336850153,0.29092896372209837,-3.2015264372438685,0.21774990462457622,-0.15406674686058716
13,0.14477936636896196,0.3500451023011929,0.7347602236262191,-3.2210925359458753,-0.07382009029028852,-0.37598329227494476
14,0.16047327156451896,-0.05378320827854144,1.076962085598873,-3.7061980306516884,-0.22519475520034288,-0.5264623193815262
15,0.048311324838592934,-0.14381669453326412,0.947973877304232,-4.0123184508577845,-0.10516590282712711,-0.591664701598712
16,0.09949803816818875,-0.045921226631048306,0.766914948228233,-4.1769522230245935,0.04401996123366002,-0.3696008626717555
17,-0.14379366891491804,0.008940345560940033,0.4444884520291401,-3.9733040796955392,0.11031269566814836,-0.2243807152421459
18,-0.1510137782997416,0.15619180543933361,0.17480405371540825,-3.511774243457662,-0.020142141448238532,-0.11945625416989071
19,-0.0482304160488476,0.1484452850994908,0.19705915108643943,-3.1383477419218555,0.01040743518749157,-0.2246870170805508
20,-0.24163456777948422,0.23814649429027157,0.046520015749123116,-2.721345873357837,0.16271793231459197,-0.16492455379772258
21,0.012993110115578646,0.1521807068330592,0.2890574148724455,-2.519484492892945,0.12682258630980675,-0.21761128215932002
22,-0.026417271871257877,-0.026138832447824015,0.3555629074330641,-2.5717169001581883,-0.0921376626383063,-0.2157752539674076
23,0.0397794189155904,-0.08230985176212391,0.42789674078256595,-2.519887387899145,-0.24849540195505562,-0.2929831379615304
24,0.05403956395141052,-0.2266056120781494,0.46409191977530634,-2.8271191886745184,-0.12455258603020677,-0.1426779922691096
